round,attendance,attendance_rate,overcrowded,mean_round_payoff
0,76,0.7524752475247525,1,-0.7524752475247525
1,80,0.7920792079207921,1,-0.7920792079207921
2,80,0.7920792079207921,1,-0.7920792079207921
3,76,0.7524752475247525,1,-0.7524752475247525
4,77,0.7623762376237624,1,-0.7623762376237624
5,81,0.801980198019802,1,-0.801980198019802
6,78,0.7722772277227723,1,-0.7722772277227723
7,76,0.7524752475247525,1,-0.7524752475247525
8,73,0.7227722772277227,1,-0.7227722772277227
9,80,0.7920792079207921,1,-0.7920792079207921
10,79,0.7821782178217822,1,-0.7821782178217822
11,80,0.7920792079207921,1,-0.7920792079207921
12,71,0.7029702970297029,1,-0.7029702970297029
13,79,0.7821782178217822,1,-0.7821782178217822
14,84,0.8316831683168316,1,-0.8316831683168316
15,81,0.801980198019802,1,-0.801980198019802
16,75,0.7425742574257426,1,-0.7425742574257426
17,78,0.7722772277227723,1,-0.7722772277227723
18,79,0.7821782178217822,1,-0.7821782178217822
19,82,0.8118811881188119,1,-0.8118811881188119
20,78,0.7722772277227723,1,-0.7722772277227723
21,76,0.7524752475247525,1,-0.7524752475247525
22,76,0.7524752475247525,1,-0.7524752475247525
23,82,0.8118811881188119,1,-0.8118811881188119
24,81,0.801980198019802,1,-0.801980198019802
25,81,0.801980198019802,1,-0.801980198019802
26,75,0.7425742574257426,1,-0.7425742574257426
27,80,0.7920792079207921,1,-0.7920792079207921
28,80,0.7920792079207921,1,-0.7920792079207921
29,79,0.7821782178217822,1,-0.7821782178217822
30,82,0.8118811881188119,1,-0.8118811881188119
31,77,0.7623762376237624,1,-0.7623762376237624
32,80,0.7920792079207921,1,-0.7920792079207921
33,76,0.7524752475247525,1,-0.7524752475247525
34,76,0.7524752475247525,1,-0.7524752475247525
35,76,0.7524752475247525,1,-0.7524752475247525
36,80,0.7920792079207921,1,-0.7920792079207921
37,79,0.7821782178217822,1,-0.7821782178217822
38,80,0.7920792079207921,1,-0.7920792079207921
39,75,0.7425742574257426,1,-0.7425742574257426
40,84,0.8316831683168316,1,-0.8316831683168316
41,86,0.8514851485148515,1,-0.8514851485148515
42,80,0.7920792079207921,1,-0.7920792079207921
43,80,0.7920792079207921,1,-0.7920792079207921
44,84,0.8316831683168316,1,-0.8316831683168316
45,74,0.7326732673267327,1,-0.7326732673267327
46,83,0.8217821782178217,1,-0.8217821782178217
47,82,0.8118811881188119,1,-0.8118811881188119
48,73,0.7227722772277227,1,-0.7227722772277227
49,76,0.7524752475247525,1,-0.7524752475247525
50,80,0.7920792079207921,1,-0.7920792079207921
51,78,0.7722772277227723,1,-0.7722772277227723
52,74,0.7326732673267327,1,-0.7326732673267327
53,77,0.7623762376237624,1,-0.7623762376237624
54,82,0.8118811881188119,1,-0.8118811881188119
55,72,0.7128712871287128,1,-0.7128712871287128
56,80,0.7920792079207921,1,-0.7920792079207921
57,86,0.8514851485148515,1,-0.8514851485148515
58,76,0.7524752475247525,1,-0.7524752475247525
59,79,0.7821782178217822,1,-0.7821782178217822
60,75,0.7425742574257426,1,-0.7425742574257426
61,78,0.7722772277227723,1,-0.7722772277227723
62,77,0.7623762376237624,1,-0.7623762376237624
63,79,0.7821782178217822,1,-0.7821782178217822
64,79,0.7821782178217822,1,-0.7821782178217822
65,81,0.801980198019802,1,-0.801980198019802
66,81,0.801980198019802,1,-0.801980198019802
67,79,0.7821782178217822,1,-0.7821782178217822
68,79,0.7821782178217822,1,-0.7821782178217822
69,69,0.6831683168316832,1,-0.6831683168316832
70,78,0.7722772277227723,1,-0.7722772277227723
71,75,0.7425742574257426,1,-0.7425742574257426
72,79,0.7821782178217822,1,-0.7821782178217822
73,87,0.8613861386138614,1,-0.8613861386138614
74,70,0.693069306930693,1,-0.693069306930693
75,78,0.7722772277227723,1,-0.7722772277227723
76,78,0.7722772277227723,1,-0.7722772277227723
77,82,0.8118811881188119,1,-0.8118811881188119
78,83,0.8217821782178217,1,-0.8217821782178217
79,88,0.8712871287128713,1,-0.8712871287128713
80,83,0.8217821782178217,1,-0.8217821782178217
81,77,0.7623762376237624,1,-0.7623762376237624
82,78,0.7722772277227723,1,-0.7722772277227723
83,80,0.7920792079207921,1,-0.7920792079207921
84,79,0.7821782178217822,1,-0.7821782178217822
85,78,0.7722772277227723,1,-0.7722772277227723
86,74,0.7326732673267327,1,-0.7326732673267327
87,81,0.801980198019802,1,-0.801980198019802
88,84,0.8316831683168316,1,-0.8316831683168316
89,79,0.7821782178217822,1,-0.7821782178217822
90,82,0.8118811881188119,1,-0.8118811881188119
91,75,0.7425742574257426,1,-0.7425742574257426
92,83,0.8217821782178217,1,-0.8217821782178217
93,79,0.7821782178217822,1,-0.7821782178217822
94,84,0.8316831683168316,1,-0.8316831683168316
95,82,0.8118811881188119,1,-0.8118811881188119
96,82,0.8118811881188119,1,-0.8118811881188119
97,80,0.7920792079207921,1,-0.7920792079207921
98,75,0.7425742574257426,1,-0.7425742574257426
99,84,0.8316831683168316,1,-0.8316831683168316
100,79,0.7821782178217822,1,-0.7821782178217822
101,83,0.8217821782178217,1,-0.8217821782178217
102,78,0.7722772277227723,1,-0.7722772277227723
103,80,0.7920792079207921,1,-0.7920792079207921
104,90,0.8910891089108911,1,-0.8910891089108911
105,74,0.7326732673267327,1,-0.7326732673267327
106,79,0.7821782178217822,1,-0.7821782178217822
107,74,0.7326732673267327,1,-0.7326732673267327
108,78,0.7722772277227723,1,-0.7722772277227723
109,81,0.801980198019802,1,-0.801980198019802
110,80,0.7920792079207921,1,-0.7920792079207921
111,77,0.7623762376237624,1,-0.7623762376237624
112,79,0.7821782178217822,1,-0.7821782178217822
113,79,0.7821782178217822,1,-0.7821782178217822
114,69,0.6831683168316832,1,-0.6831683168316832
115,76,0.7524752475247525,1,-0.7524752475247525
116,79,0.7821782178217822,1,-0.7821782178217822
117,79,0.7821782178217822,1,-0.7821782178217822
118,77,0.7623762376237624,1,-0.7623762376237624
119,80,0.7920792079207921,1,-0.7920792079207921
120,79,0.7821782178217822,1,-0.7821782178217822
121,84,0.8316831683168316,1,-0.8316831683168316
122,82,0.8118811881188119,1,-0.8118811881188119
123,79,0.7821782178217822,1,-0.7821782178217822
124,84,0.8316831683168316,1,-0.8316831683168316
125,76,0.7524752475247525,1,-0.7524752475247525
126,78,0.7722772277227723,1,-0.7722772277227723
127,77,0.7623762376237624,1,-0.7623762376237624
128,82,0.8118811881188119,1,-0.8118811881188119
129,75,0.7425742574257426,1,-0.7425742574257426
130,79,0.7821782178217822,1,-0.7821782178217822
131,77,0.7623762376237624,1,-0.7623762376237624
132,82,0.8118811881188119,1,-0.8118811881188119
133,77,0.7623762376237624,1,-0.7623762376237624
134,80,0.7920792079207921,1,-0.7920792079207921
135,77,0.7623762376237624,1,-0.7623762376237624
136,77,0.7623762376237624,1,-0.7623762376237624
137,83,0.8217821782178217,1,-0.8217821782178217
138,70,0.693069306930693,1,-0.693069306930693
139,74,0.7326732673267327,1,-0.7326732673267327
140,80,0.7920792079207921,1,-0.7920792079207921
141,80,0.7920792079207921,1,-0.7920792079207921
142,77,0.7623762376237624,1,-0.7623762376237624
143,76,0.7524752475247525,1,-0.7524752475247525
144,79,0.7821782178217822,1,-0.7821782178217822
145,74,0.7326732673267327,1,-0.7326732673267327
146,86,0.8514851485148515,1,-0.8514851485148515
147,81,0.801980198019802,1,-0.801980198019802
148,79,0.7821782178217822,1,-0.7821782178217822
149,79,0.7821782178217822,1,-0.7821782178217822
150,82,0.8118811881188119,1,-0.8118811881188119
151,74,0.7326732673267327,1,-0.7326732673267327
152,74,0.7326732673267327,1,-0.7326732673267327
153,78,0.7722772277227723,1,-0.7722772277227723
154,83,0.8217821782178217,1,-0.8217821782178217
155,79,0.7821782178217822,1,-0.7821782178217822
156,77,0.7623762376237624,1,-0.7623762376237624
157,81,0.801980198019802,1,-0.801980198019802
158,77,0.7623762376237624,1,-0.7623762376237624
159,73,0.7227722772277227,1,-0.7227722772277227
160,75,0.7425742574257426,1,-0.7425742574257426
161,79,0.7821782178217822,1,-0.7821782178217822
162,76,0.7524752475247525,1,-0.7524752475247525
163,77,0.7623762376237624,1,-0.7623762376237624
164,78,0.7722772277227723,1,-0.7722772277227723
165,79,0.7821782178217822,1,-0.7821782178217822
166,79,0.7821782178217822,1,-0.7821782178217822
167,78,0.7722772277227723,1,-0.7722772277227723
168,72,0.7128712871287128,1,-0.7128712871287128
169,75,0.7425742574257426,1,-0.7425742574257426
170,76,0.7524752475247525,1,-0.7524752475247525
171,77,0.7623762376237624,1,-0.7623762376237624
172,83,0.8217821782178217,1,-0.8217821782178217
173,80,0.7920792079207921,1,-0.7920792079207921
174,84,0.8316831683168316,1,-0.8316831683168316
175,75,0.7425742574257426,1,-0.7425742574257426
176,69,0.6831683168316832,1,-0.6831683168316832
177,83,0.8217821782178217,1,-0.8217821782178217
178,82,0.8118811881188119,1,-0.8118811881188119
179,78,0.7722772277227723,1,-0.7722772277227723
180,80,0.7920792079207921,1,-0.7920792079207921
181,77,0.7623762376237624,1,-0.7623762376237624
182,78,0.7722772277227723,1,-0.7722772277227723
183,83,0.8217821782178217,1,-0.8217821782178217
184,77,0.7623762376237624,1,-0.7623762376237624
185,76,0.7524752475247525,1,-0.7524752475247525
186,78,0.7722772277227723,1,-0.7722772277227723
187,72,0.7128712871287128,1,-0.7128712871287128
188,77,0.7623762376237624,1,-0.7623762376237624
189,77,0.7623762376237624,1,-0.7623762376237624
190,76,0.7524752475247525,1,-0.7524752475247525
191,78,0.7722772277227723,1,-0.7722772277227723
192,77,0.7623762376237624,1,-0.7623762376237624
193,79,0.7821782178217822,1,-0.7821782178217822
194,75,0.7425742574257426,1,-0.7425742574257426
195,83,0.8217821782178217,1,-0.8217821782178217
196,79,0.7821782178217822,1,-0.7821782178217822
197,79,0.7821782178217822,1,-0.7821782178217822
198,79,0.7821782178217822,1,-0.7821782178217822
199,84,0.8316831683168316,1,-0.8316831683168316
